postContent,reactions,reposts,comments,totalEngagement,profileURL,response,datetime
"Setting New Standards in Vehicle Engineering - Virtual Sensors 🚀  Introducing COMPREDICT's ground-breaking virtual sensor technology that will change the game in automotive engineering by making Wheel Force Transducer data for all your vehicles available in just a few clicks without any additional hardware! • Effortless management of virtual sensor projects across your fleet • Automated calibration and cloud deployment • Deep WFT insights and interactive data visualization Ready to steer your engineering journey toward excellence? Buckle up with COMPREDICT! 🌟
      
    
  
          
          …more",0,0,0,0,https://www.linkedin.com/company/compredict/posts,,2024-09-02 13:24:42
he good times going is a rocking beat. I for one can’t resist joining the party train when, ‘saddi rail gaadi ayi’! So, to those celebrating, khao-piyo, aish karo. And please yaar, jazz baad mein baja lena, abhi dhol bajane ka scene hai. And scene hai toh Swiggy hai 🥁
      
    
  
          
          …more",82,0,2,84,https://www.linkedin.com/in/atul1410,,2024-09-02 13:24:42
achel Bondi to execute Microsoft’s vision in India and South Asia. Thanks to Ahmed Mazhari and Kevin Peesker for their support and partnership.Puneet Chandok Rachel Bondi Kevin Peesker Ahmed Mazhari hashtag#Microsoft
      
    
  
          
          …more",2,0,527,529,https://www.linkedin.com/in/atul1410,,2024-09-02 13:24:42
ation hashtag#AI
      
    
  
          
          …more",220,0,11,231,https://www.linkedin.com/in/atul1410,,2024-09-02 13:24:42
